Priority,Product,Tab,Row,Module,Endpoint,Path,Method,SuggestedMethod,HasRequest,HasResponse,Action
P1,kmail-api,KMAILAPI,39,Kmail,,/common/deleteOtherDomainContact/,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kmail-api,KMAILAPI,40,Kmail,,/common/editOtherDomainContactsDetails/,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kmail-api,KMAILAPI,41,Kmail,,/common/knownPostBoxContacts/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,2,Signup,fetchUserDetails,/v2/profile/fetchUserDetails/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,3,Signup,fetchUserDetails,/v2/profile/fetchUserDetails/,,GET?,no,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,3,Signup,,/v2/signupLogin/fetchUserDetails/,,GET?,no,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,4,,userLogin,/v2/signupLogin/userLogin/,,,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,5,Signup,generateJWTokens,/v2/signupLogin/generateJWTokens/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,6,common,msStatus,/v2/common/msStatus/,,,no,text only,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,7,common,forgotPasswordUpdate,/v2/common/forgotPasswordUpdate,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,7,common,changePassword,/v2/profile/changePassword,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,8,common,sendOTP,/v2/common/sendOTP/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,8,common,validateOTP,/v2/common/validateOTP/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,9,common,forgotPasswordOTPOrSentKpostIDSms,/v2/common/forgotPasswordOTPOrSentKpostIDSms,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,10,common,countries,/v2/common/countries,,GET?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,11,common,languages,/v2/common/languages,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,12,common,sendOTPtoMail,/v2/common/sendOTPtoMail/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,13,common,validateMailOTP,/v2/common/validateMailOTP/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,14,common,mobileNoExist,/v2/common/mobileNoExist/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,15,Signup,kpostIdExist,/v2/signupLogin/kpostIdExist/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,16,Signup,kpostIDsuggestionList,/v2/signupLogin/kpostIDsuggestionList/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,17,Signup,signup,/v2/signupLogin/signup/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,18,,importPhoneContacts,/v2/contacts/importPhoneContacts/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,19,common,domain,/v2/common/domain/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,20,,homeDashboardMsgs,/v2/dashboard/homeDashboardMsgs/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,21,dashboard,katchupDashboardMsg,/v2/dashboard/katchupDashboardMsg/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,22,dashboard,getKmailDashboardMsg,/kmail5/common/getKmailDashboardMsg/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,25,katchup,frequentlyAccessContacts,/v2/katchup/frequentlyAccessContacts,,,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,26,contacts,addContact,/v2/contacts/addContact,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,27,contacts,addContactReference,/v2/contacts/addContactReference/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,28,contacts,getImportedPhoneContacts,/v2/contacts/getImportedPhoneContacts/,,GET?,no,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,31,katchup,getSharedMessageInfo,/v2/katchup/getSharedMessageInfo/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,32,contacts,myContacts,/v2/contacts/myContacts/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,33,contacts,myUnknownKatchupContacts,/v2/contacts/myUnknownKatchupContacts/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,34,contacts,myGroups,/v2/contacts/myGroups/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,35,contacts,myUnknownGroups,/v2/contacts/myUnknownGroups/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,37,katchup,sendMessage,/v2/katchup/sendMessage/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,38,katchup,saveKatchupMessages,/v2/katchup/saveKatchupMessages/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,39,katchup,searchKatchUpMessage,/v2/katchup/searchKatchUpMessage/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,40,katchup,katchupMessagesForSelectedContactID,/v2/katchup/katchupMessagesForSelectedContactID/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,41,katchup,markOrUnmarkImportantMessage,/v2/katchup/markOrUnmarkImportantMessage/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,42,katchup,recallMessage,/v2/katchup/recallMessage/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,43,katchup,getReadStatusGroupMessage,/v2/katchup/getReadStatusGroupMessage/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,44,katchup,deleteKatchUpMessage,/v2/katchup/deleteKatchUpMessage/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,45,group,createUserGroup,/v2/group/createUserGroup/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,46,group,addUserToGroup,/v2/group/addUserToGroup/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,47,group,removeGroupMember,/v2/group/removeGroupMember/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,48,group,addOrRemoveAdminAccess,/v2/group/addOrRemoveAdminAccess/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,49,group,leaveFromGroup,/v2/group/leaveFromGroup/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,50,katchup,sendKatchupMsgMultiPart,/v2/katchup/sendKatchupMsgMultiPart/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,66,,updateProfileImage,/v2/profile/updateProfileImage/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,68,,getDigitalCard,/v2/profile/getDigitalCard/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,71,,,/kmail5/v2/translator/translation/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,72,,,/v2/contacts/deleteContact/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,73,,,/v2/contacts/blockOrUnBlockContact/,,POST?,text only,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,74,,,/v2/contacts/getSearchDetails/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,75,,,/v2/profile/autoSearchWithName/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
