Priority,Product,Tab,Row,Module,Endpoint,Path,Method,MethodFrom,NeedsConfirming,FillCell,Request,HasResponse,Action
P1,kmail-api,KMAILAPI,16,Kmail,,/common/frequentKmailContact/,POST,method-column,yes,KMAILAPI!C16,no payload,yes,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kmail-api,KMAILAPI,17,Kmail,,/common/unOpenedMailCountBySenderID/,POST,method-column,yes,KMAILAPI!C17,no payload,yes,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kmail-api,KMAILAPI,18,Kmail,,/common/miscellaneousContacts/,POST,method-column,yes,KMAILAPI!C18,no payload,yes,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kmail-api,KMAILAPI,23,Kmail,,/sentMail/loadOtherDomainMails/,POST,method-column,yes,KMAILAPI!C23,no payload,yes,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kmail-api,KMAILAPI,25,Kmail,,/draft/getAllDraftMails/,POST,method-column,yes,KMAILAPI!C25,no payload,yes,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kmail-api,KMAILAPI,26,Kmail,,/draft/getDraftMailsContacts/,POST,method-column,yes,KMAILAPI!C26,no payload,yes,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kmail-api,KMAILAPI,58,Kmail,,/readMail/download/{uuid},POST,method-column,yes,KMAILAPI!C58,no payload,no,"Resolve the method conflict: method-conflict: column says POST, request cell says GET."
P1,kpost-api,KatchupAPI,3,Signup,fetchUserDetails,/v2/profile/fetchUserDetails/,POST,payload-rule,yes,KatchupAPI!Q3,payload,yes,"Confirm the method (POST, derived): one payload documented for two endpoints in this row - confirm it fits both."
P1,kpost-api,KatchupAPI,3,Signup,,/v2/signupLogin/fetchUserDetails/,POST,payload-rule,yes,KatchupAPI!Q3,payload,yes,"Confirm the method (POST, derived): one payload documented for two endpoints in this row - confirm it fits both."
P1,kpost-api,KatchupAPI,4,,userLogin,/v2/signupLogin/userLogin/,POST,payload-rule,yes,KatchupAPI!Q4,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,8,common,sendOTP,/v2/common/sendOTP/,POST,payload-rule,yes,KatchupAPI!Q8,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,17,Signup,signup,/v2/signupLogin/signup/,POST,payload-rule,yes,KatchupAPI!Q17,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,37,katchup,sendMessage,/v2/katchup/sendMessage/,POST,payload-rule,yes,KatchupAPI!Q37,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,44,katchup,deleteKatchUpMessage,/v2/katchup/deleteKatchUpMessage/,POST,payload-rule,yes,KatchupAPI!Q44,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name; derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,47,group,removeGroupMember,/v2/group/removeGroupMember/,POST,payload-rule,yes,KatchupAPI!Q47,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,66,,updateProfileImage,/v2/profile/updateProfileImage/,POST,payload-rule,yes,KatchupAPI!Q66,file upload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,72,,,/v2/contacts/deleteContact/,POST,payload-rule,yes,KatchupAPI!Q72,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,73,,,/v2/contacts/blockOrUnBlockContact/,POST,payload-rule,yes,KatchupAPI!Q73,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,81,,,/v2/profile/updateDesignation,POST,payload-rule,yes,KatchupAPI!Q81,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,84,KALLv2  Kool Kall & individual Kool,,/v2/kall/updateKallStatus,POST,payload-rule,yes,KatchupAPI!Q84,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,96,KALLv2,,/v2/kall/contactInfo/,POST,payload-rule,yes,KatchupAPI!Q96,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
